NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
0;1;5.753e-06;0.5;
100;1;4.778e-06;1;
200;1;3.741e-06;1;
300;1;3.247e-06;1;
400;1;3.802e-06;1;
500;1;3.318e-06;1;
600;1;3.857e-06;1;
700;1;3.516e-06;1;
800;1;3.51e-06;1;
900;1;3.503e-06;1;
1000;1;3.69e-06;1;
1100;1;3.633e-06;1;
1200;1;3.495e-06;1;
1300;1;3.696e-06;1;
1400;1;3.384e-06;1;
1500;1;3.789e-06;1;
1600;1;3.683e-06;1;
1700;1;3.66e-06;1;
1800;1;3.935e-06;1;
1900;1;3.55e-06;1;
2000;1;3.787e-06;1;
2100;1;3.698e-06;1;
2200;1;3.576e-06;1;
2300;1;3.695e-06;1;
2400;1;3.992e-06;1;
2500;1;3.767e-06;1;
2600;1;4.025e-06;1;
2700;1;4.25e-06;1;
2800;1;3.822e-06;1;
2900;1;3.8e-06;1;
3000;1;3.867e-06;1;
3100;1;3.794e-06;1;
3200;1;4.395e-06;1;
3300;1;3.441e-06;1;
3400;1;3.285e-06;1;
3500;1;4.378e-06;1;
3600;1;3.294e-06;1;
3700;1;4.27e-06;1;
3800;1;3.549e-06;1;
3900;1;4.36e-06;1;
4000;1;3.575e-06;1;
4100;1;4.103e-06;1;
4200;1;3.737e-06;1;
4300;1;3.688e-06;1;
4400;1;3.852e-06;1;
4500;1;3.825e-06;1;
4600;1;3.753e-06;1;
4700;1;3.877e-06;1;
4800;1;3.763e-06;1;
4900;1;3.647e-06;1;
5000;1;3.996e-06;1;
5100;1;4.022e-06;1;
5200;1;3.843e-06;1;
5300;1;1.1628e-05;1;
5400;1;4.096e-06;1;
5500;1;3.97e-06;1;
5600;1;3.886e-06;1;
5700;1;3.859e-06;1;
5800;1;4.146e-06;1;
5900;1;4.29e-06;1;
6000;1;3.886e-06;1;
6100;1;3.965e-06;1;
6200;1;3.878e-06;1;
6300;1;3.889e-06;1;
6400;1;3.88e-06;1;
6500;1;4.283e-06;1;
6600;1;4.314e-06;1;
6700;1;4.093e-06;1;
6800;1;3.772e-06;1;
6900;1;4.281e-06;1;
7000;1;3.752e-06;1;
7100;1;4.117e-06;1;
7200;1;3.951e-06;1;
7300;1;4.4e-06;1;
7400;1;4.333e-06;1;
7500;1;3.847e-06;1;
7600;1;4.016e-06;1;
7700;1;4.218e-06;1;
7800;1;3.777e-06;1;
7900;1;3.667e-06;1;
8000;1;3.667e-06;1;
8100;1;3.56e-06;1;
8200;1;3.284e-06;1;
8300;1;3.543e-06;1;
8400;1;3.463e-06;1;
8500;1;3.473e-06;1;
8600;1;3.648e-06;1;
8700;1;3.722e-06;1;
8800;1;3.672e-06;1;
8900;1;3.687e-06;1;
9000;1;3.478e-06;1;
9100;1;3.483e-06;1;
9200;1;3.558e-06;1;
9300;1;3.588e-06;1;
9400;1;4.198e-06;1;
9500;1;3.767e-06;1;
9600;1;3.569e-06;1;
9700;1;3.548e-06;1;
9800;1;3.566e-06;1;
9900;1;3.567e-06;1;
10000;1;3.695e-06;1;
10100;1;3.6e-06;1;
10200;1;3.413e-06;1;
10300;1;3.57e-06;1;
10400;1;3.604e-06;1;
10500;1;3.84e-06;1;
10600;1;3.642e-06;1;
10700;1;3.458e-06;1;
10800;1;3.518e-06;1;
10900;1;3.413e-06;1;
11000;1;3.775e-06;1;
11100;1;3.833e-06;1;
11200;1;3.65e-06;1;
11300;1;3.625e-06;1;
11400;1;4.161e-06;1;
11500;1;3.78e-06;1;
11600;1;3.559e-06;1;
11700;1;3.49e-06;1;
11800;1;3.571e-06;1;
11900;1;3.416e-06;1;
12000;1;4.064e-06;1;
12100;1;3.62e-06;1;
12200;1;3.519e-06;1;
12300;1;3.59e-06;1;
12400;1;3.572e-06;1;
12500;1;3.987e-06;1;
12600;1;3.59e-06;1;
12700;1;3.769e-06;1;
12800;1;3.535e-06;1;
12900;1;3.6e-06;1;
13000;1;3.885e-06;1;
13100;1;3.74e-06;1;
13200;1;3.473e-06;1;
13300;1;3.47e-06;1;
13400;1;3.544e-06;1;
13500;1;3.582e-06;1;
13600;1;3.748e-06;1;
13700;1;3.713e-06;1;
13800;1;3.612e-06;1;
13900;1;3.566e-06;1;
14000;1;3.483e-06;1;
14100;1;3.648e-06;1;
14200;1;4.345e-06;1;
14300;1;3.565e-06;1;
14400;1;3.268e-06;1;
14500;1;3.889e-06;1;
14600;1;3.576e-06;1;
14700;1;3.643e-06;1;
14800;1;3.419e-06;1;
14900;1;3.45e-06;1;
15000;1;3.578e-06;1;
15100;1;3.73e-06;1;
15200;1;3.554e-06;1;
15300;1;3.468e-06;1;
15400;1;3.46e-06;1;
15500;1;3.681e-06;1;
15600;1;3.884e-06;1;
15700;1;3.827e-06;1;
15800;1;3.439e-06;1;
15900;1;3.527e-06;1;
16000;1;3.598e-06;1;
16100;1;3.853e-06;1;
16200;1;3.823e-06;1;
16300;1;3.618e-06;1;
16400;1;3.393e-06;1;
16500;1;3.448e-06;1;
16600;1;3.684e-06;1;
16700;1;3.451e-06;1;
16800;1;3.745e-06;1;
16900;1;3.57e-06;1;
17000;1;3.476e-06;1;
17100;1;3.602e-06;1;
17200;1;3.836e-06;1;
17300;1;3.737e-06;1;
17400;1;3.588e-06;1;
17500;1;3.643e-06;1;
17600;1;3.518e-06;1;
17700;1;3.954e-06;1;
17800;1;3.598e-06;1;
17900;1;3.495e-06;1;
18000;1;3.483e-06;1;
18100;1;3.476e-06;1;
18200;1;3.848e-06;1;
18300;1;3.558e-06;1;
18400;1;3.552e-06;1;
18500;1;3.612e-06;1;
18600;1;3.525e-06;1;
18700;1;5.356e-06;1;
18800;1;3.753e-06;1;
18900;1;3.872e-06;1;
19000;1;3.428e-06;1;
19100;1;3.637e-06;1;
19200;1;3.583e-06;1;
19300;1;3.534e-06;1;
19400;1;4.061e-06;1;
19500;1;3.607e-06;1;
19600;1;3.696e-06;1;
19700;1;3.551e-06;1;
19800;1;3.762e-06;1;
19900;1;3.635e-06;1;
20000;1;3.817e-06;1;
20100;1;3.839e-06;1;
20200;1;3.566e-06;1;
20300;1;3.55e-06;1;
20400;1;3.364e-06;1;
20500;1;3.582e-06;1;
20600;1;3.657e-06;1;
20700;1;3.499e-06;1;
20800;1;3.668e-06;1;
20900;1;3.543e-06;1;
21000;1;3.577e-06;1;
21100;1;3.548e-06;1;
21200;1;3.647e-06;1;
21300;1;3.597e-06;1;
21400;1;3.645e-06;1;
21500;1;3.868e-06;1;
21600;1;4.066e-06;1;
21700;1;3.867e-06;1;
