NumberOfThreads;NumberOfIterations;RunTime;HowFair; 
0;1;3.422e-06;1;
100;1;2.795e-06;1;
200;1;2.695e-06;1;
300;1;2.492e-06;1;
400;1;1.7741e-05;1;
500;1;3.104e-06;1;
600;1;3.021e-06;1;
700;1;2.796e-06;1;
800;1;2.496e-06;1;
900;1;2.492e-06;1;
1000;1;2.504e-06;1;
1100;1;2.493e-06;1;
1200;1;2.492e-06;1;
1300;1;2.492e-06;1;
1400;1;2.49e-06;1;
1500;1;2.494e-06;1;
1600;1;2.49e-06;1;
1700;1;2.496e-06;1;
1800;1;2.498e-06;1;
1900;1;2.66e-06;1;
2000;1;3.241e-06;1;
2100;1;2.773e-06;1;
2200;1;2.807e-06;1;
2300;1;3.257e-06;1;
2400;1;2.733e-06;1;
2500;1;2.776e-06;1;
2600;1;2.821e-06;1;
2700;1;3.189e-06;1;
2800;1;2.965e-06;1;
2900;1;3.021e-06;1;
3000;1;2.939e-06;1;
3100;1;2.511e-06;1;
3200;1;2.501e-06;1;
3300;1;2.506e-06;1;
3400;1;2.497e-06;1;
3500;1;2.498e-06;1;
3600;1;2.945e-06;1;
3700;1;2.982e-06;1;
3800;1;3.356e-06;1;
3900;1;2.965e-06;1;
4000;1;2.945e-06;1;
4100;1;3.173e-06;1;
4200;1;2.945e-06;1;
4300;1;3.097e-06;1;
4400;1;2.995e-06;1;
4500;1;2.943e-06;1;
4600;1;2.5e-06;1;
4700;1;2.499e-06;1;
4800;1;2.492e-06;1;
4900;1;2.499e-06;1;
5000;1;2.504e-06;1;
5100;1;2.496e-06;1;
5200;1;2.512e-06;1;
5300;1;2.499e-06;1;
5400;1;2.506e-06;1;
5500;1;2.537e-06;1;
5600;1;2.522e-06;1;
5700;1;2.502e-06;1;
5800;1;2.522e-06;1;
5900;1;2.496e-06;1;
6000;1;5.0839e-05;1;
6100;1;3.085e-06;1;
6200;1;2.493e-06;1;
6300;1;2.491e-06;1;
6400;1;2.506e-06;1;
6500;1;2.496e-06;1;
6600;1;2.498e-06;1;
6700;1;2.507e-06;1;
6800;1;3.4112e-05;1;
6900;1;3.021e-06;1;
7000;1;2.504e-06;1;
7100;1;3.296e-06;1;
7200;1;3.281e-06;1;
7300;1;3.184e-06;1;
7400;1;2.938e-06;1;
7500;1;2.744e-06;1;
7600;1;3.084e-06;1;
7700;1;2.955e-06;1;
7800;1;2.949e-06;1;
7900;1;3.237e-06;1;
8000;1;3.26e-06;1;
8100;1;3.305e-06;1;
8200;1;3.252e-06;1;
8300;1;3.271e-06;1;
8400;1;3.218e-06;1;
8500;1;3.05e-06;1;
8600;1;3.251e-06;1;
8700;1;3.598e-06;1;
8800;1;3.107e-06;1;
8900;1;2.929e-06;1;
9000;1;3.104e-06;1;
9100;1;3.017e-06;1;
9200;1;2.99e-06;1;
9300;1;3.867e-06;1;
9400;1;2.509e-06;1;
9500;1;2.494e-06;1;
9600;1;2.893e-06;1;
9700;1;3.254e-06;1;
9800;1;3.11e-06;1;
9900;1;2.974e-06;1;
